Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.02673,-0.000843937,0,0,0,5453.63,-330635,8.22241e+06,-7.78003e+07,-0.00216721,0,0,0,-34313.2,2.42132e+06,-6.32522e+07,5.98491e+08,0.1,0,0,0,2.79397e-09,-2.38419e-07,7.62939e-06,-6.10352e-05,0,0,0,0,0,0,0,0
0.016355,-0.000331016,0.0472345,0.9022,-28.6632,862.514,-97479.9,4.3536e+06,-6.66214e+07,-0.00387957,-0.0915013,2.48356,164.632,-15319.8,912163,-3.34908e+07,5.12496e+08,0.1,-5.50591e-15,-1.00718e-14,4.25692e-11,0,-9.53674e-07,0,0,0,0,0,0,0,0,0,0
0.0242032,0.000567544,0.0556065,-0.349098,-18.8994,615.929,-8963.17,107981,-1.11197e+06,-0.0045008,0.0136031,2.52953,-44.5522,-152.266,29974.2,-830660,8.55402e+06,0.1,6.0874e-15,1.97239e-13,-3.13041e-11,0,1.19209e-07,7.62939e-06,0,0,0,0,0,0,0,0,0
0.0511962,0.00159415,0.0288628,-0.465468,5.4886,-49.4898,162.991,750.888,-3673.72,-0.0032501,0.0711895,0.225473,-16.5124,249.809,-856.668,-5776.32,28260.7,0.1,-1.07221e-14,-3.74133e-13,2.17721e-11,-5.82077e-11,-1.11759e-08,1.19209e-07,0,0,0,0,0,0,0,0,0
0.0713497,0.00231578,0.00451665,-0.131815,0.757779,5.29326,-69.8028,23.7308,-83.6636,0.000106651,0.0604686,0.0818828,3.48401,-69.9516,340.741,-182.553,643.596,0.1,1.26497e-14,-3.70357e-14,-7.4918e-12,1.16415e-10,0,7.45058e-09,0,0,0,0,0,0,0,0,0
0.070391,0.0022527,-0.00388868,-0.0554978,-1.18854,-18.8041,149.671,2.55331,-9.16919,0.00490257,0.0664517,-0.11733,0.123941,45.417,-386.13,-19.6417,70.5355,0.1,-6.42925e-15,8.57793e-14,1.75792e-12,0,9.31323e-10,0,0,0,0,0,0,0,0,0,0
0.0453368,0.00108667,-0.0372115,-0.342887,0.942898,33.9586,-217.541,1.14719,-6.34908,0.00948799,0.0675953,-0.0923576,-6.29702,-91.1383,995.105,-8.82489,48.841,0.1,2.06768e-15,-4.66811e-14,-4.85469e-13,0,-7.45058e-09,1.19209e-07,-9.53674e-07,0,0,0,0,0,0,0,0
0.0543131,-0.00111548,-0.0544246,0.00148191,2.63101,-15.3387,34.1212,0.0599398,-0.274894,0.0115814,0.00743356,-1.14585,-2.38027,134.316,-665.931,-0.461091,2.11464,0.1,-1.37504e-15,-9.55811e-15,8.67933e-13,-5.82077e-11,0,0,2.38419e-07,0,0,0,0,0,0,0,0
0.121284,-0.00376289,-0.0393254,0.213363,0.305284,-6.07145,14.2162,0.000341422,-0.000704746,0.00907772,-0.080996,-0.223357,7.15491,-46.5371,94.0083,-0.00262621,0.0054208,0.1,1.66134e-15,7.42017e-15,-4.40894e-13,0,0,-4.65661e-10,9.31323e-10,0,0,0,0,0,0,0,0
0.176518,-0.00578991,-0.0020454,0.042209,-0.54901,2.54958,-3.34832,9.24118e-06,-1.31624e-05,0.00113094,-0.0498274,-0.0501785,-1.59355,10.4711,-17.8346,-7.10287e-05,0.000101165,0.1,-1.18514e-15,3.40702e-15,5.39172e-14,0,-7.27596e-12,5.82077e-11,-5.82077e-11,0,0,0,0,0,0,0,0
0.182479,-0.0059539,0.00137434,0.0439672,0.207886,-0.405619,0.375793,8.51041e-07,-1.18051e-06,-0.0108831,-0.0727091,0.0826215,0.24276,-5.26959,13.4958,-6.49308e-06,8.98686e-06,0.1,6.50175e-16,-2.30004e-15,-3.18551e-14,0,0,0,0,0,0,0,0,0,0,0,0
0.125165,-0.00334962,0.0304121,0.0995665,0.0369516,-0.0627485,-2.10707,3.32315e-07,-6.6762e-07,-0.0230369,-0.0715626,-0.0172563,0.890314,7.04392,-26.1509,-2.36608e-06,4.75603e-06,0.1,-3.45255e-16,1.45577e-15,2.10151e-14,0,0,0,0,0,0,0,0,0,0,0,0
0.121601,0.00200906,0.0539953,0.0662268,-0.324562,-1.3814,4.48318,3.53466e-08,-7.1479e-08,-0.0295931,-0.0108813,0.46638,0.320064,-9.32192,20.4731,-2.56929e-07,5.2643e-07,0.1,2.39387e-16,-1.8766e-15,-5.46203e-14,1.81899e-12,0,0,0,0,0,0,0,0,0,0,0
0.282008,0.00878778,0.0506699,-0.0941214,-0.333564,1.34438,-1.25104,-6.86668e-11,5.70708e-11,-0.0249385,0.0720769,0.124218,-1.18684,3.1258,-2.65533,-1.74032e-09,1.57956e-09,0.1,2.29204e-17,1.44211e-16,4.57156e-16,0,0,0,0,0,0,0,0,0,0,0,0
0.426289,0.0143822,-0.000956814,-0.0154031,0.18801,-0.419633,0.263898,2.40163e-11,-1.57598e-11,-0.0063175,0.0554212,0.0161362,0.227418,-0.618321,0.436529,-6.59668e-11,4.25402e-11,0.1,-2.26861e-17,5.3623e-16,3.76267e-15,-5.68434e-14,1.13687e-13,-2.27374e-13,1.13687e-13,0,0,0,0,0,0,0,0
0.459889,0.0155972,0.0019519,-0.028071,-0.047968,0.14285,-0.11537,-1.36282e-11,1.24203e-11,0.0235839,0.0736412,-0.0290394,-0.0336449,0.312116,-0.315636,-4.80327e-11,3.12355e-11,0.1,-1.54694e-16,-3.29365e-16,2.41792e-15,-1.42109e-14,5.68434e-14,-2.27374e-13,5.68434e-14,0,0,0,0,0,0,0,0
0.338352,0.00990878,-0.0245282,-0.0251907,-0.0291917,-0.122437,0.220268,-1.26931e-10,1.02943e-10,0.0555047,0.0764224,0.0136082,-0.127053,-0.413671,0.571058,-1.68711e-10,1.38698e-10,0.1,1.87277e-16,-4.88106e-16,-1.96565e-15,0,-2.27374e-13,0,4.54747e-13,0,0,0,0,0,0,0,0
0.273168,-0.00303291,-0.0561367,-0.0536012,0.0572696,0.250205,-0.30591,-1.11413e-10,9.57243e-11,0.0751095,0.0153222,-0.178305,-0.0331599,0.552422,-0.534851,-1.85537e-10,1.67347e-10,0.1,-2.31134e-16,-3.76078e-16,6.89783e-15,0,0,3.63798e-12,-3.63798e-12,0,0,0,0,0,0,0,0
0.633986,-0.0202722,-0.0607167,0.0429976,0.102388,-0.16762,0.0681649,2.01794e-12,-7.81597e-13,0.0675763,-0.0593643,-0.0671707,0.171347,-0.178099,0.0646434,1.35003e-13,-1.42109e-14,0.1,4.95828e-16,2.02232e-15,-9.13923e-15,3.55271e-15,1.42109e-14,-1.42109e-14,7.10543e-15,0,0,0,0,0,0,0,0
0.978876,-0.0354905,0.0014721,0.00719815,-0.0487065,0.0484575,-0.0135555,-1.1946e-13,3.34177e-14,0.0244532,-0.0672402,-0.00605833,-0.0204754,0.026816,-0.00859522,-2.91989e-13,7.70772e-14,0.1,-6.84272e-16,-5.30618e-17,2.1833e-15,-1.33227e-15,0,8.88178e-16,0,0,0,0,0,0,0,0,0
1.09127,-0.0405289,-0.00487251,0.0156116,0.0111402,-0.0178884,0.00625599,6.26166e-14,-1.62093e-14,-0.0494807,-0.0768085,0.00736395,0.00216358,-0.0152523,0.00693056,-8.34888e-14,2.91989e-14,0.1,4.50521e-16,-2.37813e-16,-6.96268e-16,0,0,0,0,0,0,0,0,0,0,0,0
0.868153,-0.0284644,0.0203721,0.00556624,0.00755648,0.0162464,-0.010244,3.43281e-13,-1.26676e-13,-0.132623,-0.0831481,-0.004467,0.01812,0.0225632,-0.0119339,-3.12639e-13,8.17124e-14,0.1,-2.03592e-16,2.24039e-16,3.08209e-16,-8.88178e-16,0,0,0,0,0,0,0,0,0,0,0
0.616413,0.00253814,0.0605483,0.031687,-0.013234,-0.0282204,0.0153327,1.93623e-12,-8.81073e-13,-0.189387,-0.0247748,0.0666741,0.00652866,-0.0292391,0.0116819,1.0516e-12,-4.26326e-13,0.1,1.64983e-16,1.3623e-16,-3.42443e-16,0,1.42109e-14,-2.84217e-14,7.10543e-15,0,0,0,0,0,0,0,0
1.33345,0.0460915,0.0691571,-0.0212108,-0.0245567,0.019036,-0.00369333,4.50751e-14,-7.43849e-15,-0.180977,0.0459045,0.0394488,-0.0211778,0.00676518,-0.000956056,-1.46549e-14,2.38698e-15,0.1,-2.75715e-16,-2.74009e-16,9.19946e-16,-6.66134e-16,2.22045e-16,0,0,0,0,0,0,0,0,0,0
2.01141,0.0869843,0.0037507,-0.00392833,0.0113069,-0.00558838,0.000769882,-1.37806e-14,1.81105e-15,-0.0824761,0.0871901,0.00423679,-0.00209319,0.000390897,-9.09584e-06,-4.15813e-15,5.83084e-16,0.1,3.24287e-16,1.96447e-17,-2.6432e-16,8.32667e-17,0,-1.38778e-17,0,0,0,0,0,0,0,0,0
2.25696,0.104522,0.00628461,-0.00870512,-0.00250753,0.00215437,-0.000366551,8.11851e-16,-8.93383e-17,0.0991052,0.0908078,0.000354674,0.00068383,0.00029942,-0.000127956,-9.4369e-16,1.14492e-16,0.1,-1.92221e-16,8.21607e-17,7.19179e-17,-5.55112e-17,0,0,8.67362e-19,0,0,0,0,0,0,0,0
1.96531,0.0799698,-0.019812,-0.00198002,-0.0017299,-0.0019821,0.000534616,7.23033e-15,-1.21778e-15,0.313999,0.100027,-0.000574696,-0.003131,-0.00114454,0.000236314,-1.33227e-15,1.52656e-16,0.1,4.06695e-17,-4.65389e-17,1.17046e-17,-2.77556e-17,-5.55112e-17,0,-3.46945e-18,0,0,0,0,0,0,0,0
1.36201,0.00635855,-0.0679449,-0.0175316,0.00333764,0.00327134,-0.00084234,5.9619e-14,-1.20737e-14,0.474451,0.0443631,-0.027621,-0.00300104,0.00117761,-8.01393e-05,-7.99361e-15,2.44249e-15,0.1,2.47363e-17,4.00822e-17,-1.6149e-17,0,0,-2.22045e-16,-2.77556e-17,0,0,0,0,0,0,0,0
2.45063,-0.102963,-0.0785586,0.0112347,0.00553406,-0.00246502,0.000269137,7.14706e-15,-7.86697e-16,0.47973,-0.0370556,-0.0288009,0.00192796,0.000631855,-9.82382e-05,-5.19029e-15,5.30825e-16,0.1,-6.38793e-17,-2.02078e-17,6.38828e-17,-4.16334e-17,1.38778e-17,0,0,0,0,0,0,0,0,0,0
